prot_00001	FIG00042616	94	13	94	Dihydroxyacetone kinase family protein
prot_01204	FIG01195846	60	10	60	Unidentified iron compound ABC uptake transporter permease protein
prot_01205	FIG01196039	32	4	32	Ferrichrome transport system permease protein FhuG
prot_01206	FIG01196039	44	7	44	Ferrichrome transport system permease protein FhuG
prot_01207	FIG01196039	45	7	45	Ferrichrome transport system permease protein FhuG
prot_01209	FIG01195751	108	16	108	putative ABC substrate-binding protein - iron
prot_01210		49	8	49	putative ABC substrate-binding protein - iron
prot_01211	FIG01195751	64	10	64	putative ABC substrate-binding protein - iron
prot_01212	FIG01195751	28	4	28	putative ABC substrate-binding protein - iron
prot_01213		28	6	28	putative ABC substrate-binding protein - iron
prot_01214	FIG01195751	115	17	115	putative ABC substrate-binding protein - iron
prot_01215		55	8	55	putative ABC substrate-binding protein - iron
prot_01216	FIG01195751	65	10	65	putative ABC substrate-binding protein - iron
prot_01217	FIG01195751	28	4	28	putative ABC substrate-binding protein - iron
prot_01218	FIG01195456	63	9	63	unique hypothetical membrane lipoprotein
prot_01219		52	7	52	unique hypothetical membrane lipoprotein
prot_01220	FIG00001608	277	43	277	Non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase (NADP) (EC 1.2.1.9)
prot_01221	FIG00001406	56	8	56	Aspartate--ammonia ligase (EC 6.3.1.1)
prot_01222	FIG00001406	53	9	53	Aspartate--ammonia ligase (EC 6.3.1.1)
prot_01223	FIG00001550	138	21	138	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
prot_01224	FIG00000636	29	4	29	Asparaginyl-tRNA synthetase (EC 6.1.1.22)
prot_01225	FIG00000636	141	20	141	Asparaginyl-tRNA synthetase (EC 6.1.1.22)
prot_01226	FIG00000636	50	8	50	Asparaginyl-tRNA synthetase (EC 6.1.1.22)
prot_01227	FIG00000636	27	4	27	Asparaginyl-tRNA synthetase (EC 6.1.1.22)
prot_01229	FIG01195925	119	19	119	FIG01195928: hypothetical protein
prot_01230	FIG01195710	166	26	166	FIG01195711: hypothetical protein
prot_01231	FIG01195710	29	5	29	FIG01195711: hypothetical protein
prot_01235	FIG00000139	88	12	88	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_01236	FIG00000139	99	15	99	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_01237	FIG00000139	180	26	180	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_01238	FIG00000139	34	5	34	Alanyl-tRNA synthetase (EC 6.1.1.7)
prot_01239	FIG00912840	101	16	101	Putative Holliday junction resolvase YggF
prot_01240	FIG00000114	31	4	31	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_01242	FIG00000114	70	11	70	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_01243	FIG00000114	74	10	74	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_01244	FIG00000114	38	6	38	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_01245	FIG00000114	98	15	98	Leucyl-tRNA synthetase (EC 6.1.1.4)
prot_01247	FIG01195456	93	13	93	unique hypothetical membrane lipoprotein
prot_01248	FIG01195456	23	4	24	unique hypothetical membrane lipoprotein
prot_01249	FIG01196153	51	7	51	DNA-directed RNA polymerase delta (= beta'') subunit (EC 2.7.7.6), chloroplast
prot_01250	FIG01196153	152	22	152	DNA-directed RNA polymerase delta (= beta'') subunit (EC 2.7.7.6), chloroplast
prot_01251	FIG01196153	115	17	115	DNA-directed RNA polymerase delta (= beta'') subunit (EC 2.7.7.6), chloroplast
